"id","Gender","Age","Educ.lvl","WDP.Theil","WDP.Gini","WDP.Atkinson","k2all","k2strong","ext.right","ext.left"
431,"F",5,6,1,1,1,1,0,0,0
432,"M",2,5,0,0,0,1,0,0,0
433,"M",4,6,NA,NA,NA,0,0,1,NA
434,"F",3,5,1,1,1,1,0,0,0
435,NA,NA,4,NA,NA,NA,0,0,NA,NA
436,"M",5,6,0,0,0,1,1,0,1
437,"M",2,6,1,1,1,0,0,0,1
438,"F",4,2,0,0,0,1,0,0,0
439,"M",2,5,1,1,1,0,0,0,0
440,"F",4,6,1,1,1,0,0,0,0
441,"F",5,6,NA,NA,NA,0,0,0,NA
442,"M",4,6,1,1,1,0,0,0,1
443,"M",1,5,0,0,0,1,1,0,0
444,"M",2,NA,1,1,1,0,0,0,1
445,"M",2,5,1,1,1,1,1,0,0
446,"F",1,5,1,1,1,0,0,0,0
447,"F",2,6,0,0,0,0,0,0,0
448,"M",2,6,1,1,1,1,0,0,0
449,"F",1,5,1,1,1,1,0,0,0
450,"M",6,2,0,0,0,1,0,0,0
451,"M",7,5,NA,NA,NA,1,0,0,1
452,"M",3,6,0,0,0,1,0,0,0
453,"M",5,4,0,0,0,0,0,0,0
454,"F",5,6,NA,NA,NA,0,0,NA,NA
455,"M",4,6,1,1,1,1,0,0,0
456,"F",5,6,1,1,1,1,1,0,0
457,"M",4,6,1,1,1,0,0,0,0
458,"F",4,6,1,0,1,1,0,0,0
459,"M",3,6,1,1,1,1,1,0,0
460,"M",4,4,0,0,0,0,0,0,0
461,"M",3,6,0,0,0,1,0,0,0
462,"M",6,3,0,0,0,1,1,0,0
463,"M",7,6,0,0,0,0,0,0,0
464,"F",6,6,NA,NA,NA,0,0,NA,NA
465,"M",3,6,1,1,1,1,0,0,1
466,"F",5,6,0,0,0,1,0,0,0
467,"M",5,6,1,1,1,0,0,0,0
468,"F",5,5,0,0,0,1,1,0,0
469,"F",2,6,1,1,1,1,1,0,1
470,"F",3,6,0,0,0,1,1,0,0
471,"M",7,3,0,0,0,0,0,0,1
472,"M",5,3,0,0,0,1,1,0,0
473,"F",3,5,1,1,1,1,1,0,1
474,"F",3,6,0,0,0,1,1,0,0
475,"M",6,6,0,0,0,1,0,0,0
476,"M",4,6,0,0,0,1,0,0,0
477,"F",6,6,0,0,0,1,0,0,0
478,"M",2,6,1,1,1,1,1,0,0
479,"F",6,1,0,0,0,1,0,0,0
480,"F",5,6,0,NA,0,0,0,NA,0
481,"M",7,5,0,0,0,0,0,0,0
482,"M",2,5,0,0,0,0,0,0,0
483,"M",3,5,1,1,1,1,1,0,0
