"id","avg.match","optk2","phi.value","AGE","GENDER","EDUC","WORK","Educ.lvl"
172,0.818181818181818,"k=2",0.67,"60"," F"," S"," PUB",3
173,0.909090909090909,"k=2",0.83,"50"," F"," S"," CHO",3
174,0.909090909090909,"k=2",0.81,"30"," M"," S"," PRI",3
177,0.636363636363636,"k=2",NA,"70"," F"," S"," RET",3
178,0.636363636363636,"k=2",0.35,"50"," F"," S"," PUB",3
179,0.818181818181818,"k=2",0.67,"30"," M"," S"," PRI",3
181,0.909090909090909,"k=2+",0.77,"18"," F"," S"," ETU",3
183,0.909090909090909,"k=2",0.83,"18"," F"," S"," PUB",3
184,0.545454545454545,"k=2",0.38,"40"," F","2"," PUB",2
185,0.909090909090909,"k=2",0.83,"18"," M"," S"," ART",3
186,0.818181818181818,"k=2+",0.69,"40"," M","1"," PRI",1
187,0.909090909090909,"k=2",0.77,"50"," F"," S"," PUB",3
188,0.909090909090909,"k=2+",0.77,"50"," F"," S"," CHO",3
189,1,"k=2",1,"30"," F","2"," PUB",2
190,1,"k=2+",1,"70"," M"," S"," RET",3
